"","name","price","rating","votes_cnt","subzone","lat","lng","kuchnia1","n","lng_utm","lat_utm"
"585","Restauracja piw paw, Œródmieœcie Po³udniowe",60,3.8,85,"Œródmieœcie po³udniowe",52.228416,21.013982,"Przek¹ski",1,500954.978834277,5786443.87750958
"586","Restauracja inazia hotel sheraton, Œródmieœcie Po³udniowe",240,4.1,28,"Œródmieœcie po³udniowe",52.231924,21.006727,"Tajska",3,500459.421849992,5786833.99178822
"587","Restauracja monique, Œródmieœcie Po³udniowe",80,3.7,35,"Œródmieœcie po³udniowe",52.229115,21.016933,"Kawiarnia",2,501156.515708133,5786521.66829473
"588","Restauracja chmielarnia, Œródmieœcie Po³udniowe",100,3.9,70,"Œródmieœcie po³udniowe",52.215453,21.020795,"Tajska",2,501420.724354678,5785002.15281697
"589","Restauracja nippon kan, Œródmieœcie Po³udniowe",110,3.9,36,"Œródmieœcie po³udniowe",52.22776,21.008364,"Japoñska",3,500571.274546077,5786370.85333654
"590","Restauracja czyli ¿urawia 45, Œródmieœcie Po³udniowe",80,3.9,49,"Œródmieœcie po³udniowe",52.2276,21.011797,"W³oska",1,500805.756819639,5786353.08959916
"591","Restauracja tomo sushi, Œródmieœcie Po³udniowe",200,3.7,71,"Œródmieœcie po³udniowe",52.226292,21.018942,"Sushi",1,501293.811489097,5786207.70796325
"592","Restauracja pacyfik, Œródmieœcie Po³udniowe",60,4.1,49,"Œródmieœcie po³udniowe",52.224547,21.007769,"Drinki",2,500530.673399477,5786013.47602206
"593","Restauracja krucza 23, Œródmieœcie Po³udniowe",45,3.7,31,"Œródmieœcie po³udniowe",52.227183,21.01771,"Kawiarnia",1,501209.636935739,5786306.79007651
"594","Restauracja karma, Œródmieœcie Po³udniowe",60,3.9,61,"Œródmieœcie po³udniowe",52.219583,21.017207,"Europejska",2,501175.481446101,5785461.45596543
"595","Restauracja ch³opskie jad³o, Œródmieœcie Po³udniowe",120,2.8,58,"Œródmieœcie po³udniowe",52.221363,21.016404,"Polska",1,501120.580388989,5785659.42735952
"596","Restauracja loco mexicano, Œródmieœcie Po³udniowe",100,3.9,29,"Œródmieœcie po³udniowe",52.216533,21.019649,"Tex-Mex",1,501342.396528852,5785122.2560763
"597","Restauracja drugie dno, Œródmieœcie Po³udniowe",60,4.4,40,"Œródmieœcie po³udniowe",52.230154,21.018289,"Drinki",3,501249.100691854,5786637.25585972
"598","Restauracja etno cafe, Œródmieœcie Po³udniowe",40,4.2,46,"Œródmieœcie po³udniowe",52.227745,21.012464,"Kawiarnia",1,500851.311374242,5786369.22516228
"599","Restauracja kiti, Œródmieœcie Po³udniowe",90,4.2,43,"Œródmieœcie po³udniowe",52.225412,21.019268,"Drinki",1,501316.104561208,5786109.83395753
"600","Restauracja witaly, Œródmieœcie Po³udniowe",95,3.8,18,"Œródmieœcie po³udniowe",52.231924,21.006727,"Europejska",2,500459.421849992,5786833.99178822
"601","Restauracja krem, Œródmieœcie Po³udniowe",40,4,39,"Œródmieœcie po³udniowe",52.220647,21.013157,"Kawiarnia",2,500898.787692156,5785579.74357435
"602","Restauracja plan b, Œródmieœcie Po³udniowe",60,4,68,"Œródmieœcie po³udniowe",52.219984,21.018668,"Przek¹ski",2,501275.276921395,5785506.0826946
"603","Restauracja instalacje, Œródmieœcie Po³udniowe",120,3.8,25,"Œródmieœcie po³udniowe",52.219512,21.031058,"Europejska",2,502121.703996191,5785453.87383936
"604","Restauracja dubrovnik, Œródmieœcie Po³udniowe",100,2.5,60,"Œródmieœcie po³udniowe",52.229301,21.014168,"Ba³kañska",1,500967.663503001,5786542.31603772
"605","Restauracja la vanille, Œródmieœcie Po³udniowe",30,3.9,57,"Œródmieœcie po³udniowe",52.226292,21.018942,"Desery",1,501293.811489097,5786207.70796325
"606","Restauracja semolino, Œródmieœcie Po³udniowe",80,3.8,47,"Œródmieœcie po³udniowe",52.231924,21.006727,"W³oska",2,500459.421849992,5786833.99178822
"607","Restauracja dom zabawy i kultury dzik, Œródmieœcie Po³udniowe",50,3.8,34,"Œródmieœcie po³udniowe",52.20978,21.028698,"Œródziemnomorska",2,501960.910856927,5784371.34704654
"608","Restauracja weles, Œródmieœcie Po³udniowe",120,4.1,50,"Œródmieœcie po³udniowe",52.229108,21.017769,"Przek¹ski",1,501213.614294115,5786520.90337252
"609","Restauracja spiskowcy rozkoszy, Œródmieœcie Po³udniowe",50,3.1,71,"Œródmieœcie po³udniowe",52.227495,21.011344,"Drinki",2,500774.817913471,5786341.40580806
"610","Restauracja gemba, Œródmieœcie Po³udniowe",70,3.8,36,"Œródmieœcie po³udniowe",52.224235,21.011703,"Polska",2,500799.396874148,5785978.80925778
"611","Restauracja warszawski lukier, Œródmieœcie Po³udniowe",40,3.8,39,"Œródmieœcie po³udniowe",52.227514,21.020804,"Desery",2,501420.954242711,5786343.66240881
"612","Restauracja ho¿a, Œródmieœcie Po³udniowe",230,4,33,"Œródmieœcie po³udniowe",52.226617,21.016686,"Amerykañska",3,501139.709687826,5786243.81891487
"613","Restauracja ole tapas bar, Œródmieœcie Po³udniowe",200,3.9,45,"Œródmieœcie po³udniowe",52.229649,21.020935,"Hiszpañska",2,501429.833214429,5786581.13501778
"614","Restauracja gringobar salsownia, Œródmieœcie Po³udniowe",70,4,50,"Œródmieœcie po³udniowe",52.231924,21.006727,"Tex-Mex",2,500459.421849992,5786833.99178822
"615","Restauracja oishii sushi, Œródmieœcie Po³udniowe",100,3.9,40,"Œródmieœcie po³udniowe",52.223801,21.008272,"Sushi",2,500565.041050661,5785930.50440731
"616","Restauracja pho, Œródmieœcie Po³udniowe",40,2.7,25,"Œródmieœcie po³udniowe",52.221329,21.018763,"Wietnamska",2,501281.727985449,5785655.68472784
"617","Restauracja loving hut, Œródmieœcie Po³udniowe",50,3.6,44,"Œródmieœcie po³udniowe",52.219159,21.015092,"Wietnamska",3,501031.006854157,5785414.26352674
"618","Restauracja vegan pizza, Œródmieœcie Po³udniowe",70,3.8,50,"Œródmieœcie po³udniowe",52.223986,21.01233,"Pizza",1,500842.230076741,5785951.1208101
"619","Restauracja siewcy smaku, Œródmieœcie Po³udniowe",80,4,41,"Œródmieœcie po³udniowe",52.231924,21.006727,"Polska",2,500459.421849992,5786833.99178822
"620","Restauracja green caffe nero, Œródmieœcie Po³udniowe",45,3.8,42,"Œródmieœcie po³udniowe",52.228801,21.013085,"Kawiarnia",1,500893.705475869,5786486.68853626
"621","Restauracja sheesha lounge, Œródmieœcie Po³udniowe",120,3.7,49,"Œródmieœcie po³udniowe",52.229565,21.014003,"Arabska",1,500956.388457147,5786571.67782826
"622","Restauracja matcha tea house, Œródmieœcie Po³udniowe",40,3.8,40,"Œródmieœcie po³udniowe",52.219189,21.017869,"Kawiarnia",2,501220.716210082,5785417.64346525
"623","Restauracja kieliszki na ho¿ej, Œródmieœcie Po³udniowe",100,4.1,20,"Œródmieœcie po³udniowe",52.225597,21.011913,"Miêdzynarodowa",1,500813.716448166,5786130.30292291
"624","Restauracja pó³noc po³udnie, Œródmieœcie Po³udniowe",100,3.9,30,"Œródmieœcie po³udniowe",52.213968,21.023271,"Europejska",1,501589.938876281,5784837.03225428
"625","Restauracja pini cafe vino, Œródmieœcie Po³udniowe",60,3.6,40,"Œródmieœcie po³udniowe",52.220425,21.018131,"Kawiarnia",2,501238.580289572,5785555.12450093
"626","Restauracja asia anh, Œródmieœcie Po³udniowe",50,3.7,22,"Œródmieœcie po³udniowe",52.224782,21.015784,"Tajska",4,501078.144510203,5786039.70333633
"627","Restauracja wiesz co zjesz, Œródmieœcie Po³udniowe",90,3.9,21,"Œródmieœcie po³udniowe",52.221363,21.016404,"Zdrowe jedzenie",2,501120.580388989,5785659.42735952
"628","Restauracja bierhalle, Œródmieœcie Po³udniowe",110,2.9,43,"Œródmieœcie po³udniowe",52.224236,21.01443,"Polska",2,500985.670052504,5785978.95406187
"629","Restauracja organic coffee, Œródmieœcie Po³udniowe",45,3.9,30,"Œródmieœcie po³udniowe",52.223276,21.017569,"Kawiarnia",2,501200.111612864,5785872.22338025
"630","Restauracja arirang, Œródmieœcie Po³udniowe",120,3.7,21,"Œródmieœcie po³udniowe",52.2286,21.010977,"Koreañska",3,500749.732465941,5786464.30797456
"631","Restauracja pod gigantami, Œródmieœcie Po³udniowe",230,3.8,42,"Œródmieœcie po³udniowe",52.226985,21.023574,"Polska",1,501610.169840877,5786284.88115981
"632","Restauracja la torre, Œródmieœcie Po³udniowe",85,2.7,39,"Œródmieœcie po³udniowe",52.226278,21.021586,"Pizza",1,501474.407324973,5786206.2012699
"633","Restauracja edamame vegan sushi, Œródmieœcie Po³udniowe",80,3.9,26,"Œródmieœcie po³udniowe",52.225706,21.020077,"Sushi",1,501371.354408839,5786142.54972902
"634","Restauracja fast good, Œródmieœcie Po³udniowe",50,3.8,27,"Œródmieœcie po³udniowe",52.219176,21.013622,"Burgery",2,500930.583753812,5785416.13449749
"635","Restauracja pasta mia, Œródmieœcie Po³udniowe",60,3.6,50,"Œródmieœcie po³udniowe",52.214692,21.021299,"W³oska",1,501455.182743054,5784917.51912325
"636","Restauracja metr nad ziemi¹, Œródmieœcie Po³udniowe",70,3.7,27,"Œródmieœcie po³udniowe",52.2286,21.010977,"Europejska",1,500749.732465941,5786464.30797456
"637","Restauracja art sushi, Œródmieœcie Po³udniowe",180,3.6,42,"Œródmieœcie po³udniowe",52.22772,21.00679,"Sushi",3,500463.768251419,5786366.39301193
"638","Restauracja cophi, Œródmieœcie Po³udniowe",30,4.2,32,"Œródmieœcie po³udniowe",52.225772,21.011386,"Kawiarnia",1,500777.71670081,5786149.76188523
"639","Restauracja delizia, Œródmieœcie Po³udniowe",170,3.6,46,"Œródmieœcie po³udniowe",52.225772,21.011386,"W³oska",1,500777.71670081,5786149.76188523
"640","Restauracja na koñcu t?czy beige, Œródmieœcie Po³udniowe",30,4.1,32,"Œródmieœcie po³udniowe",52.219661,21.018673,"Lodziarnia",1,501275.627743103,5785470.1564564
"641","Restauracja izumi sushi, Œródmieœcie Po³udniowe",170,3.7,46,"Œródmieœcie po³udniowe",52.21961,21.01777,"Sushi",2,501213.941571749,5785464.46837322
"642","Restauracja bez tytu³u, Œródmieœcie Po³udniowe",100,3.9,28,"Œródmieœcie po³udniowe",52.22518,21.012059,"Miêdzynarodowa",1,500823.696681751,5786083.92286188
"643","Restauracja cofeina, Œródmieœcie Po³udniowe",40,3.5,38,"Œródmieœcie po³udniowe",52.219815,21.013043,"Kawiarnia",2,500891.016716276,5785487.20128267
"644","Restauracja warszawski sen, Œródmieœcie Po³udniowe",150,3.9,23,"Œródmieœcie po³udniowe",52.222225,21.011329,"Polska",1,500773.884994652,5785755.23876538
"645","Restauracja mango vegan street food, Œródmieœcie Po³udniowe",50,3.8,38,"Œródmieœcie po³udniowe",52.231924,21.006727,"Zdrowe jedzenie",1,500459.421849992,5786833.99178822
"646","Restauracja bagatela z klimatem, Œródmieœcie Po³udniowe",120,3.4,7,"Œródmieœcie po³udniowe",52.213953,21.022699,"Polska",1,501550.858782209,5784835.35146054
"647","Restauracja dyspensa, Œródmieœcie Po³udniowe",190,3.7,33,"Œródmieœcie po³udniowe",52.222635,21.019532,"Polska",3,501334.220360358,5785800.96113946
"648","Restauracja leniwa gospodyni, Œródmieœcie Po³udniowe",40,3.6,26,"Œródmieœcie po³udniowe",52.220191,21.013513,"Polska",1,500923.116400011,5785529.02852315
"649","Restauracja burger bar, Œródmieœcie Po³udniowe",70,3.8,28,"Œródmieœcie po³udniowe",52.229115,21.016933,"Burgery",1,501156.515708133,5786521.66829473
"650","Restauracja kawka z kotem, Œródmieœcie Po³udniowe",50,3.5,15,"Œródmieœcie po³udniowe",52.22236,21.01773,"Kawiarnia",1,501211.134196848,5785770.34205914
"651","Restauracja mojo picón, Œródmieœcie Po³udniowe",70,3.7,18,"Œródmieœcie po³udniowe",52.223577,21.012496,"Hiszpañska",2,500853.576945007,5785905.63087124
"652","Restauracja temari, Œródmieœcie Po³udniowe",100,3.8,23,"Œródmieœcie po³udniowe",52.218663,21.01751,"Sushi",2,501196.205347512,5785359.13207919
"653","Restauracja kie³ba w g?bie, Œródmieœcie Po³udniowe",40,3.7,25,"Œródmieœcie po³udniowe",52.231924,21.006727,"Polska",1,500459.421849992,5786833.99178822
"654","Restauracja thai style, Œródmieœcie Po³udniowe",70,3.8,22,"Œródmieœcie po³udniowe",52.221085,21.011004,"Tajska",1,500751.703463776,5785628.43650661
"655","Restauracja tarantino, Œródmieœcie Po³udniowe",70,2.5,25,"Œródmieœcie po³udniowe",52.228287,21.014256,"Drinki",2,500973.696017531,5786429.5328489
"656","Restauracja bar z³ota kurka, Œródmieœcie Po³udniowe",30,2.4,25,"Œródmieœcie po³udniowe",52.224236,21.01443,"Polska",1,500985.670052504,5785978.95406187
"657","Restauracja four seasons, Œródmieœcie Po³udniowe",110,3.2,25,"Œródmieœcie po³udniowe",52.226398,21.015359,"Wietnamska",1,501049.076305106,5786219.44013551
"658","Restauracja radio cafe, Œródmieœcie Po³udniowe",70,3.3,25,"Œródmieœcie po³udniowe",52.227713,21.006803,"Polska",3,500464.656246034,5786365.61450502
"659","Restauracja someplace else hotel sheraton, Œródmieœcie Po³udniowe",150,3.6,19,"Œródmieœcie po³udniowe",52.231924,21.006727,"Miêdzynarodowa",2,500459.421849992,5786833.99178822
"660","Restauracja lider kebab, Œródmieœcie Po³udniowe",35,2.3,21,"Œródmieœcie po³udniowe",52.223734,21.015913,"Kebab",1,501086.981594617,5785923.13926155
"661","Restauracja culiinaria, Œródmieœcie Po³udniowe",100,3.8,20,"Œródmieœcie po³udniowe",52.225597,21.010842,"W³oska",1,500740.561884809,5786130.29144063
"662","Restauracja momento pizza, Œródmieœcie Po³udniowe",70,3.2,34,"Œródmieœcie po³udniowe",52.220425,21.011807,"Pizza",2,500806.569825928,5785555.03529437
"663","Restauracja pizza przy politechnice, Œródmieœcie Po³udniowe",50,3.3,37,"Œródmieœcie po³udniowe",52.221282,21.010514,"Pizza",1,500718.227485286,5785650.34326609
"664","Restauracja nowo, Œródmieœcie Po³udniowe",100,3.9,17,"Œródmieœcie po³udniowe",52.229801,21.016565,"Miêdzynarodowa",1,501131.364048635,5786597.96434537
"665","Restauracja fabryka frytek, Œródmieœcie Po³udniowe",20,3.6,31,"Œródmieœcie po³udniowe",52.220683,21.015183,"Fast Food",1,501037.187997718,5785583.77480083
"666","Restauracja pizzeria napoli, Œródmieœcie Po³udniowe",80,3.4,36,"Œródmieœcie po³udniowe",52.223725,21.00966,"Pizza",1,500659.853223654,5785922.06287534
"667","Restauracja bistro paris, Œródmieœcie Po³udniowe",100,3.2,14,"Œródmieœcie po³udniowe",52.214692,21.021299,"Francuska",1,501455.182743054,5784917.51912325
"668","Restauracja soul food, Œródmieœcie Po³udniowe",50,3.5,22,"Œródmieœcie po³udniowe",52.231924,21.006727,"Burgery",2,500459.421849992,5786833.99178822
"669","Restauracja street sushi grabgo, Œródmieœcie Po³udniowe",40,3.7,16,"Œródmieœcie po³udniowe",52.230052,21.017053,"Azjatycka",2,501164.687130333,5786625.89010378
"670","Restauracja zmiana klimatu, Œródmieœcie Po³udniowe",120,3.6,14,"Œródmieœcie po³udniowe",52.225847,21.019203,"Œródziemnomorska",1,501311.651905681,5786158.21657917
"671","Restauracja urban burritos, Œródmieœcie Po³udniowe",60,3.7,20,"Œródmieœcie po³udniowe",52.24771,21.187556,"Tex-Mex",1,512804.625938842,5788606.37675865
"672","Restauracja ? nouche, Œródmieœcie Po³udniowe",40,3.3,19,"Œródmieœcie po³udniowe",52.218663,21.01751,"Kawiarnia",3,501196.205347512,5785359.13207919
"673","Restauracja india express, Œródmieœcie Po³udniowe",60,3.9,18,"Œródmieœcie po³udniowe",52.223664,21.007302,"Indyjska",1,500498.784145316,5785915.25917807
"674","Restauracja legends, Œródmieœcie Po³udniowe",100,3.5,24,"Œródmieœcie po³udniowe",52.225286,21.006954,"Grill",4,500474.995695526,5786095.66720565
"675","Restauracja beer street, Œródmieœcie Po³udniowe",70,3.5,13,"Œródmieœcie po³udniowe",52.229875,21.020049,"Polska",2,501369.31361675,5786606.25525812
"676","Restauracja bez oœci, Œródmieœcie Po³udniowe",27,3.6,14,"Œródmieœcie po³udniowe",52.225163,21.00968,"Ryby i owoce morza",1,500661.198020527,5786082.00763411
"677","Restauracja bentoya, Œródmieœcie Po³udniowe",54,2.6,22,"Œródmieœcie po³udniowe",52.22405,21.007621,"Chiñska",4,500520.569845474,5785958.19507917
"678","Restauracja ristorante balgera, Œródmieœcie Po³udniowe",100,3.6,22,"Œródmieœcie po³udniowe",52.220288,21.023236,"W³oska",1,501587.322270638,5785539.98590048
"679","Restauracja cafe lorentz, Œródmieœcie Po³udniowe",50,3.8,20,"Œródmieœcie po³udniowe",52.23212,21.0242,"Kawiarnia",1,501652.736692336,5786856.04691932
"680","Restauracja meta seta galareta, Œródmieœcie Po³udniowe",30,3.7,20,"Œródmieœcie po³udniowe",52.228287,21.014256,"Przek¹ski",2,500973.696017531,5786429.5328489
"681","Restauracja curry house, Œródmieœcie Po³udniowe",80,4,21,"Œródmieœcie po³udniowe",52.225875,21.012081,"Indyjska",1,500825.186520319,5786161.22596397
"682","Restauracja po³udnik zero, Œródmieœcie Po³udniowe",40,3.7,31,"Œródmieœcie po³udniowe",52.225018,21.017118,"Kawiarnia",2,501169.258734963,5786065.97361454
"683","Restauracja ul, Œródmieœcie Po³udniowe",NA,3.6,16,"Œródmieœcie po³udniowe",52.22518,21.012059,"Drinki",1,500823.696681751,5786083.92286188
"684","Restauracja karmello chocolatier, Œródmieœcie Po³udniowe",50,3.6,13,"Œródmieœcie po³udniowe",52.231924,21.006727,"Kawiarnia",1,500459.421849992,5786833.99178822
"685","Restauracja warsaw hot dog burger, Œródmieœcie Po³udniowe",50,3.5,20,"Œródmieœcie po³udniowe",52.2296,21.016656,"Burgery",2,501137.584346158,5786575.60910176
"686","Restauracja bistro wiejska, Œródmieœcie Po³udniowe",100,3.8,24,"Œródmieœcie po³udniowe",52.225908,21.025615,"Œródziemnomorska",1,501749.618153467,5786165.13683045
"687","Restauracja heritage shop wine, Œródmieœcie Po³udniowe",50,3.8,17,"Œródmieœcie po³udniowe",52.21943,21.01741,"W³oska",2,501189.353303879,5785444.44154396
"688","Restauracja magia ditalia, Œródmieœcie Po³udniowe",40,3.6,15,"Œródmieœcie po³udniowe",52.231924,21.006727,"Kawiarnia",2,500459.421849992,5786833.99178822
"689","Restauracja koszykowa 31, Œródmieœcie Po³udniowe",50,3.4,11,"Œródmieœcie po³udniowe",52.222139,21.018756,"Sushi",1,501281.22649463,5785745.77851639
"690","Restauracja binh minh, Œródmieœcie Po³udniowe",40,2.8,20,"Œródmieœcie po³udniowe",52.222649,21.008539,"Chiñska",3,500583.294292377,5785802.37292406
"691","Restauracja gor¹czka z³ota, Œródmieœcie Po³udniowe",50,3.8,21,"Œródmieœcie po³udniowe",52.224751,21.016465,"Polska",2,501124.66179153,5786036.26564326
"692","Restauracja nowina, Œródmieœcie Po³udniowe",100,3.6,15,"Œródmieœcie po³udniowe",52.230154,21.018289,"Europejska",1,501249.100691854,5786637.25585972
"693","Restauracja winestone hotel mercure grand, Œródmieœcie Po³udniowe",150,NA,0,"Œródmieœcie po³udniowe",52.227748,21.018734,"Miêdzynarodowa",3,501279.562433467,5786369.65100496
"694","Restauracja mleczarnia, Œródmieœcie Po³udniowe",45,2.8,22,"Œródmieœcie po³udniowe",52.22005,21.016415,"Polska",1,501121.364883985,5785513.38643517
"695","Restauracja curry leaves, Œródmieœcie Po³udniowe",80,3.8,20,"Œródmieœcie po³udniowe",52.231924,21.006727,"Indyjska",1,500459.421849992,5786833.99178822
"696","Restauracja œmietanka, Œródmieœcie Po³udniowe",50,3.2,5,"Œródmieœcie po³udniowe",52.221487,21.019211,"Polska",1,501312.326863429,5785673.26661683
"697","Restauracja cyderia, Œródmieœcie Po³udniowe",70,3.5,10,"Œródmieœcie po³udniowe",52.22518,21.012059,"Przek¹ski",1,500823.696681751,5786083.92286188
"698","Restauracja grizzly gin bar, Œródmieœcie Po³udniowe",70,3.7,15,"Œródmieœcie po³udniowe",52.223617,21.012674,"Przek¹ski",2,500865.7349936,5785910.0820657
"699","Restauracja punkt g, Œródmieœcie Po³udniowe",100,3.6,14,"Œródmieœcie po³udniowe",52.232226,21.01359,"Polska",1,500928.12554816,5786867.64810918
"700","Restauracja handroll, Œródmieœcie Po³udniowe",50,3.6,18,"Œródmieœcie po³udniowe",52.225875,21.012081,"Sushi",1,500825.186520319,5786161.22596397
"701","Restauracja galeria funky studio, Œródmieœcie Po³udniowe",40,2.9,16,"Œródmieœcie po³udniowe",52.21952,21.018502,"Przek¹ski",2,501263.950048047,5785454.47045252
"702","Restauracja frankies, Œródmieœcie Po³udniowe",40,3.5,13,"Œródmieœcie po³udniowe",52.231392,21.022266,"Kawiarnia",2,501520.679223368,5786775.03114962
"703","Restauracja pijalnia czekolady wedel pi?kna, Œródmieœcie Po³udniowe",80,3.5,9,"Œródmieœcie po³udniowe",52.223915,21.020041,"Desery",2,501368.950513805,5785943.34129396
"704","Restauracja klub serbski, Œródmieœcie Po³udniowe",100,3.6,8,"Œródmieœcie po³udniowe",52.221673,21.02244,"Miêdzynarodowa",1,501532.89738873,5785694.0182161
"705","Restauracja trou madame, Œródmieœcie Po³udniowe",45,2.5,18,"Œródmieœcie po³udniowe",52.21722,21.03657,"Kawiarnia",2,502498.380735849,5785199.11723071
"706","Restauracja himalayan yeti, Œródmieœcie Po³udniowe",100,3.6,12,"Œródmieœcie po³udniowe",52.218356,21.014573,"Nepalska",3,500995.569431401,5785324.94099429
"707","Restauracja olive hotel sheraton, Œródmieœcie Po³udniowe",270,3.6,11,"Œródmieœcie po³udniowe",52.231924,21.006727,"Miêdzynarodowa",1,500459.421849992,5786833.99178822
"708","Restauracja ma³e piwo, Œródmieœcie Po³udniowe",40,3.6,18,"Œródmieœcie po³udniowe",52.216815,21.01838,"Przek¹ski",1,501255.691992504,5785153.59933887
"709","Restauracja starbucks coffee, Œródmieœcie Po³udniowe",35,3.2,12,"Œródmieœcie po³udniowe",52.229961,21.021851,"Kawiarnia",1,501492.384358137,5786615.8563704
"710","Restauracja podwieczorki poranki, Œródmieœcie Po³udniowe",40,3.5,16,"Œródmieœcie po³udniowe",52.213512,21.023245,"Kawiarnia",1,501588.178746653,5784786.31221806
"711","Restauracja saint honore, Œródmieœcie Po³udniowe",60,3.3,9,"Œródmieœcie po³udniowe",52.217811,21.015814,"Kawiarnia",1,501080.362841271,5785264.34005677
"712","Restauracja miejsce, Œródmieœcie Po³udniowe",102,3.5,13,"Œródmieœcie po³udniowe",52.22464,21.04584,"Miêdzynarodowa",1,503131.164523762,5786024.78175046
"713","Restauracja kago sushi, Œródmieœcie Po³udniowe",120,3.3,14,"Œródmieœcie po³udniowe",52.222225,21.011329,"Sushi",1,500773.884994652,5785755.23876538
"714","Restauracja pekin ekspres, Œródmieœcie Po³udniowe",60,3.5,19,"Œródmieœcie po³udniowe",52.229115,21.016933,"Chiñska",2,501156.515708133,5786521.66829473
"715","Restauracja piwiarnia, Œródmieœcie Po³udniowe",85,3.5,11,"Œródmieœcie po³udniowe",52.224402,21.014053,"Grill",3,500959.914733041,5785997.41270144
"716","Restauracja piekarnia aromat, Œródmieœcie Po³udniowe",30,3.5,8,"Œródmieœcie po³udniowe",52.231924,21.006727,"Piekarnia",2,500459.421849992,5786833.99178822
"717","Restauracja król ziemniak, Œródmieœcie Po³udniowe",47,3.4,13,"Œródmieœcie po³udniowe",52.221085,21.011004,"Przek¹ski",2,500751.703463776,5785628.43650661
"718","Restauracja cafe me+me, Œródmieœcie Po³udniowe",50,3.4,8,"Œródmieœcie po³udniowe",52.216815,21.01838,"Kawiarnia",2,501255.691992504,5785153.59933887
"719","Restauracja hoa lan, Œródmieœcie Po³udniowe",40,3.3,14,"Œródmieœcie po³udniowe",52.221481,21.013661,"Wietnamska",3,500933.199715717,5785672.5132944
"720","Restauracja forum, Œródmieœcie Po³udniowe",30,3.6,12,"Œródmieœcie po³udniowe",52.219583,21.017207,"Kawiarnia",1,501175.481446101,5785461.45596543
"721","Restauracja studio buffo, Œródmieœcie Po³udniowe",145,3.4,14,"Œródmieœcie po³udniowe",52.228018,21.026123,"Polska",2,501784.232227492,5786399.83850008
"722","Restauracja novo2 restaurant hotel novotel, Œródmieœcie Po³udniowe",200,3.2,6,"Œródmieœcie po³udniowe",52.22925,21.01267,"Miêdzynarodowa",1,500865.352247154,5786536.62450944
"723","Restauracja prodi¿ warszawski, Œródmieœcie Po³udniowe",120,3.4,11,"Œródmieœcie po³udniowe",52.22518,21.012059,"Polska",1,500823.696681751,5786083.92286188
"724","Restauracja lukullus, Œródmieœcie Po³udniowe",40,3.6,12,"Œródmieœcie po³udniowe",52.225893,21.022176,"Desery",2,501514.719708225,5786163.39098816
"725","Restauracja spi¿arnia smaków, Œródmieœcie Po³udniowe",90,3.2,4,"Œródmieœcie po³udniowe",52.227176,21.015391,"Polska",1,501051.243649001,5786305.97532065
"726","Restauracja smaczne go, Œródmieœcie Po³udniowe",35,2.9,10,"Œródmieœcie po³udniowe",52.226797,21.011267,"Zdrowe jedzenie",2,500769.570726994,5786263.76843305
"727","Restauracja costa coffee, Œródmieœcie Po³udniowe",40,3.3,11,"Œródmieœcie po³udniowe",52.229565,21.014003,"Kawiarnia",1,500956.388457147,5786571.67782826
"728","Restauracja fest port czerniakowski, Œródmieœcie Po³udniowe",80,NA,0,"Œródmieœcie po³udniowe",52.222346,21.047684,"Zdrowe jedzenie",1,503257.289327463,5785769.70808969
"729","Restauracja przystanek wilcza, Œródmieœcie Po³udniowe",52,3.3,11,"Œródmieœcie po³udniowe",52.225366,21.018688,"Polska",2,501276.488865615,5786104.70713774
"730","Restauracja la petite, Œródmieœcie Po³udniowe",40,3.6,14,"Œródmieœcie po³udniowe",52.220853,21.011156,"Kawiarnia",1,500762.09083428,5785602.6334207
"731","Restauracja beerokracja, Œródmieœcie Po³udniowe",45,3.1,12,"Œródmieœcie po³udniowe",52.229038,21.011563,"Drinki",1,500789.748673822,5786513.03170568
"732","Restauracja pub student, Œródmieœcie Po³udniowe",50,3,21,"Œródmieœcie po³udniowe",52.21633,21.016258,"Przek¹ski",2,501110.732469554,5785099.61963248
"733","Restauracja bonsai taste asia, Œródmieœcie Po³udniowe",40,3.4,9,"Œródmieœcie po³udniowe",52.214468,21.021431,"Azjatycka",1,501464.208565303,5784892.60695177
"734","Restauracja rozdro¿e, Œródmieœcie Po³udniowe",120,2.7,12,"Œródmieœcie po³udniowe",52.22037,21.02499,"Polska",1,501707.140232573,5785549.14637247
"735","Restauracja pijalnia wódki i piwa, Œródmieœcie Po³udniowe",40,3.3,8,"Œródmieœcie po³udniowe",52.228287,21.014256,"Przek¹ski",2,500973.696017531,5786429.5328489
"736","Restauracja krystians kitchen, Œródmieœcie Po³udniowe",90,3.4,9,"Œródmieœcie po³udniowe",52.229989,21.023167,"W³oska",3,501582.263816221,5786618.99864397
"737","Restauracja kawa³yksztuki, Œródmieœcie Po³udniowe",40,3.6,9,"Œródmieœcie po³udniowe",52.214685,21.02129,"Kawiarnia",1,501454.568076889,5784916.74035422
"738","Restauracja sushiroll, Œródmieœcie Po³udniowe",50,3,7,"Œródmieœcie po³udniowe",52.226552,21.0132,"Sushi",1,500901.605529628,5786236.54006494
"739","Restauracja dela krem, Œródmieœcie Po³udniowe",40,3.4,8,"Œródmieœcie po³udniowe",52.226398,21.015359,"Kawiarnia",2,501049.076305106,5786219.44013551
"740","Restauracja parana, Œródmieœcie Po³udniowe",45,2.8,12,"Œródmieœcie po³udniowe",52.225377,21.014959,"Polska",1,501021.778266933,5786105.87152053
